EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label,KaggleSet,KaggleWeight
900033,125.615,23.923,85.122,29.661,-999.0,-999.0,-999.0,2.788,15.296,122.533,1.027,-1.332,-999.0,42.488,-0.356,-0.748,43.652,-0.541,2.754,31.996,2.102,248.654,1,36.393,3.543,-0.117,-999.0,-999.0,-999.0,36.393,0.00572068250088,s,u,0.259892070003
900034,-999.0,93.879,100.909,2.789,-999.0,-999.0,-999.0,2.663,2.789,101.647,1.649,-1.383,-999.0,38.37,-1.605,-0.333,63.277,-2.306,-2.902,38.812,0.893,122.455,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00081448039868,s,u,0.0370020529469
900035,148.373,15.608,89.889,8.025,-999.0,-999.0,-999.0,2.943,8.025,89.739,0.43,-1.297,-999.0,62.766,0.551,-0.952,26.973,-0.359,2.533,30.499,1.982,163.382,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,u,0.259892070003
900036,118.24,10.348,86.886,10.089,-999.0,-999.0,-999.0,2.94,10.089,80.719,0.889,-1.326,-999.0,42.742,-2.053,0.722,37.977,-1.21,-2.744,8.686,-2.166,156.344,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00081448039868,s,u,0.0370020529469
900039,121.133,1.135,60.682,103.863,-999.0,-999.0,-999.0,1.952,22.551,161.678,0.841,1.024,-999.0,37.405,1.722,-2.39,31.463,0.883,-0.628,72.158,-0.651,220.962,1,92.81,2.638,1.934,-999.0,-999.0,-999.0,92.81,0.00572068250088,s,u,0.259892070003
900040,309.804,23.988,257.684,30.063,-999.0,-999.0,-999.0,3.311,30.063,193.718,0.929,-1.314,-999.0,100.423,0.513,1.453,93.295,-1.085,-1.447,35.787,-1.865,323.804,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461281573949,s,u,0.0209561399517
900041,110.697,6.609,80.475,222.177,4.035,635.03,-4.07,0.963,1.493,408.94,0.383,0.721,0.911,131.83,-0.266,0.732,50.473,0.599,0.308,46.759,0.171,420.045,2,187.542,-2.035,-2.718,39.094,2.0,-2.106,226.637,0.000461281573949,s,u,0.0209561399517
900042,148.954,41.99,110.497,25.29,-999.0,-999.0,-999.0,2.964,25.29,106.907,0.735,-1.398,-999.0,61.621,-0.17,2.191,45.286,0.479,-0.701,10.526,2.997,359.729,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900043,127.025,6.402,79.326,89.219,-999.0,-999.0,-999.0,2.195,28.082,148.569,1.361,0.835,-999.0,37.035,0.48,1.231,50.397,-0.08,-2.929,55.114,-2.808,159.317,1,61.137,-2.545,-0.069,-999.0,-999.0,-999.0,61.137,0.000461281573949,s,u,0.0209561399517
900048,149.211,17.885,108.718,16.989,-999.0,-999.0,-999.0,3.169,16.989,91.293,0.727,-1.353,-999.0,52.877,0.867,2.523,38.416,2.148,-0.861,33.697,-0.359,188.21,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461025356734,s,u,0.0209444999381
900050,139.08,46.684,95.671,46.565,-999.0,-999.0,-999.0,2.688,1.607,146.242,0.747,1.399,-999.0,56.21,0.12,2.023,41.968,-0.19,-0.647,19.788,1.241,171.434,1,48.064,2.177,-1.894,-999.0,-999.0,-999.0,48.064,0.000461281573949,s,u,0.0209561399517
900052,138.084,1.709,98.081,38.762,-999.0,-999.0,-999.0,2.91,1.224,102.981,0.74,0.858,-999.0,37.533,-2.206,1.024,27.782,-0.093,-0.978,8.006,-1.092,123.053,1,37.666,-3.544,-3.106,-999.0,-999.0,-999.0,37.666,0.00572068250088,s,u,0.259892070003
900054,172.838,98.22,94.551,40.996,-999.0,-999.0,-999.0,2.773,0.305,137.771,1.36,1.114,-999.0,41.097,-0.467,-0.032,55.898,-0.637,-2.8,45.147,-0.083,152.879,1,40.776,-1.43,2.528,-999.0,-999.0,-999.0,40.776,0.00081448039868,s,u,0.0370020529469
900056,113.311,43.506,83.885,9.588,-999.0,-999.0,-999.0,2.663,9.588,84.112,0.594,-1.401,-999.0,52.771,-0.082,0.751,31.342,-0.83,-2.976,34.944,-1.541,209.595,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00081448039868,s,u,0.0370020529469
900057,-999.0,97.298,80.209,22.594,-999.0,-999.0,-999.0,2.221,22.594,85.696,1.092,-1.385,-999.0,40.971,-0.102,2.081,44.725,0.573,-0.035,60.079,-2.471,73.423,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461025356734,s,u,0.0209444999381
900058,110.563,12.777,81.26,2.906,-999.0,-999.0,-999.0,3.362,2.906,67.978,1.014,1.414,-999.0,33.754,0.23,-0.771,34.224,-1.001,2.383,2.435,-2.35,79.837,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900061,65.122,52.58,60.736,0.839,-999.0,-999.0,-999.0,2.166,0.839,68.486,0.86,-1.411,-999.0,36.824,0.465,-3.066,31.662,0.725,-0.916,32.118,1.023,107.634,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461025356734,s,u,0.0209444999381
900062,108.085,27.297,82.68,6.051,-999.0,-999.0,-999.0,3.115,6.051,59.306,0.99,-1.41,-999.0,29.799,1.69,2.584,29.507,-0.092,-1.143,12.092,0.471,146.714,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900063,113.592,52.203,79.574,86.867,-999.0,-999.0,-999.0,2.266,29.636,151.921,2.326,1.414,-999.0,28.422,-0.06,1.804,66.105,-0.422,-2.242,38.228,2.949,197.605,1,57.395,-0.388,0.15,-999.0,-999.0,-999.0,57.395,0.000461281573949,s,u,0.0209561399517
900064,139.125,84.251,75.635,3.242,-999.0,-999.0,-999.0,3.091,3.242,79.096,2.391,-0.847,-999.0,23.322,0.431,-1.733,55.774,-0.199,1.524,31.819,-1.632,113.053,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900069,151.069,8.923,113.682,105.304,-999.0,-999.0,-999.0,2.215,1.59,191.286,1.31,0.673,-999.0,36.935,-0.467,-2.285,48.375,1.739,-2.086,20.73,-2.369,164.06,1,105.976,0.944,0.944,-999.0,-999.0,-999.0,105.976,0.000461025356734,s,u,0.0209444999381
900076,123.129,16.136,69.653,353.234,3.049,663.654,-1.898,1.058,6.654,561.778,4.716,1.336,0.952,29.166,1.326,-0.737,137.543,0.315,-1.046,187.764,-0.945,662.371,2,329.584,-0.872,2.002,65.484,2.177,-3.103,395.068,0.000461281573949,s,u,0.0209561399517
900077,123.729,9.232,74.513,76.81,-999.0,-999.0,-999.0,2.337,5.739,150.031,1.287,0.689,-999.0,33.511,-1.232,2.934,43.115,-0.435,0.737,52.419,0.543,166.707,1,73.405,-1.036,-2.242,-999.0,-999.0,-999.0,73.405,0.00572068250088,s,u,0.259892070003
900078,142.916,23.824,104.122,98.05,-999.0,-999.0,-999.0,2.191,24.59,247.877,0.208,-1.219,-999.0,126.843,0.869,-2.526,26.346,0.511,-0.365,16.259,0.862,338.88,1,94.687,1.811,0.545,-999.0,-999.0,-999.0,94.687,0.00572068250088,s,u,0.259892070003
900079,82.843,40.938,67.566,5.574,-999.0,-999.0,-999.0,2.737,5.574,56.214,0.994,-1.408,-999.0,28.185,2.354,1.199,28.029,0.932,-2.745,18.876,-0.551,152.867,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900082,143.3,23.638,82.959,50.282,-999.0,-999.0,-999.0,2.722,1.398,132.784,0.65,1.391,-999.0,50.186,-0.925,2.329,32.61,-1.584,-0.312,36.372,0.389,125.011,1,49.989,-3.359,-2.242,-999.0,-999.0,-999.0,49.989,0.000461281573949,s,u,0.0209561399517
900089,130.848,78.54,71.684,59.526,-999.0,-999.0,-999.0,2.713,8.591,137.078,0.915,1.187,-999.0,37.453,1.698,0.258,34.273,2.16,-2.416,49.089,0.14,189.55,1,65.352,2.337,3.136,-999.0,-999.0,-999.0,65.352,0.000461025356734,s,u,0.0209444999381
900093,99.851,6.355,50.379,86.01,3.457,235.139,1.098,2.227,0.604,137.236,1.222,1.143,0.996,22.913,-0.883,-2.523,27.99,-1.916,1.786,62.121,1.939,140.617,2,51.215,-3.75,-1.114,35.119,-0.293,-0.819,86.334,0.000461281573949,s,u,0.0209561399517
900097,111.081,15.16,82.54,24.461,-999.0,-999.0,-999.0,2.815,24.461,84.349,1.296,1.407,-999.0,36.73,0.072,-0.732,47.619,0.079,2.083,7.071,1.232,87.655,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461281573949,s,u,0.0209561399517
900098,160.302,2.374,92.868,30.835,-999.0,-999.0,-999.0,2.778,3.049,129.151,0.573,1.135,-999.0,61.316,1.31,-0.822,35.146,1.697,1.929,38.494,1.865,170.454,1,32.689,-1.405,-2.281,-999.0,-999.0,-999.0,32.689,0.000461281573949,s,u,0.0209561399517
900100,105.723,85.339,61.219,199.235,0.693,107.469,0.376,1.245,45.587,381.671,2.57,1.293,0.027,32.672,1.503,-0.383,83.98,1.362,-1.62,109.209,-0.696,407.21,3,138.755,0.358,1.671,79.164,1.051,2.398,265.019,0.000461281573949,s,u,0.0209561399517
900101,96.189,10.654,43.121,115.611,-999.0,-999.0,-999.0,1.728,3.644,175.477,0.951,1.192,-999.0,28.993,0.719,-1.533,27.583,0.558,0.188,84.335,-0.034,242.03,1,118.901,1.181,2.922,-999.0,-999.0,-999.0,118.901,0.000461281573949,s,u,0.0209561399517
900108,110.831,18.044,80.234,0.441,-999.0,-999.0,-999.0,3.401,0.441,59.293,1.018,-1.414,-999.0,29.379,0.185,2.787,29.914,-1.455,-0.193,4.419,-1.997,45.517,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900109,107.964,56.297,86.946,1.347,-999.0,-999.0,-999.0,2.784,1.347,87.167,1.283,-1.401,-999.0,38.182,-1.097,-1.516,48.985,-0.661,1.234,18.885,-2.685,121.798,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900110,141.47,15.533,104.455,0.894,-999.0,-999.0,-999.0,3.12,0.894,97.866,0.847,-1.411,-999.0,52.994,-0.033,-2.116,44.871,0.724,0.91,10.416,1.645,142.97,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,u,0.259892070003
900111,130.284,3.397,89.266,156.535,4.464,660.489,-4.879,1.38,16.489,306.842,0.926,1.058,0.889,71.478,-1.561,0.473,66.154,-1.089,-0.824,53.612,-0.767,435.954,2,130.699,-2.554,3.117,38.511,1.91,1.702,169.21,0.000461281573949,s,u,0.0209561399517
900112,118.905,19.71,85.092,68.65,3.151,382.645,-2.045,2.026,2.873,266.307,1.071,1.387,0.754,48.442,-0.197,1.508,51.897,-0.175,-2.75,15.854,2.832,299.289,2,116.625,2.238,-0.718,49.342,-0.914,2.177,165.967,0.000461281573949,s,u,0.0209561399517
900116,124.235,75.694,91.109,24.575,-999.0,-999.0,-999.0,3.006,24.575,86.621,1.222,0.78,-999.0,38.981,-0.115,-1.951,47.64,0.589,0.971,30.317,-1.988,166.038,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900118,126.638,9.451,93.491,52.36,-999.0,-999.0,-999.0,2.516,22.146,140.975,0.684,0.086,-999.0,40.291,-0.024,-0.526,27.564,-2.113,-1.926,5.357,-2.725,210.936,1,73.12,-0.76,2.095,-999.0,-999.0,-999.0,73.12,0.000461281573949,s,u,0.0209561399517
900120,195.614,28.736,79.785,106.605,-999.0,-999.0,-999.0,3.033,77.627,122.825,0.627,-1.402,-999.0,50.31,-0.211,2.43,31.538,-0.366,-0.824,125.603,-0.363,336.453,1,40.977,2.206,2.17,-999.0,-999.0,-999.0,40.977,0.00572068250088,s,u,0.259892070003
900126,134.66,53.054,78.974,212.068,4.407,680.99,-4.267,1.461,25.019,347.11,0.327,1.125,0.954,95.498,0.287,-2.296,31.268,1.243,-1.191,99.506,-2.183,448.136,2,189.87,-1.436,1.126,30.474,2.971,1.234,220.344,0.000461281573949,s,u,0.0209561399517
900128,137.943,10.917,84.017,34.654,2.645,231.736,0.265,3.321,3.638,187.221,1.008,-1.391,0.584,34.034,-1.056,1.8,34.304,-2.388,-1.441,35.126,-1.125,203.216,2,74.362,-2.741,2.398,44.521,-0.097,-0.325,118.883,0.000461281573949,s,u,0.0209561399517
900130,135.437,36.558,106.366,2.87,-999.0,-999.0,-999.0,2.988,2.87,106.559,1.009,-1.414,-999.0,53.028,1.555,1.721,53.53,1.461,-1.576,11.137,0.116,141.645,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900131,101.832,45.585,75.335,56.689,-999.0,-999.0,-999.0,2.04,13.609,160.647,1.734,1.032,-999.0,33.186,-1.907,2.008,57.545,-2.249,-2.264,12.902,2.037,275.402,1,69.916,-2.364,0.098,-999.0,-999.0,-999.0,69.916,0.000461025356734,s,u,0.0209444999381
900132,109.963,25.639,74.234,81.803,-999.0,-999.0,-999.0,2.032,3.138,153.894,0.653,1.371,-999.0,45.482,-2.297,-1.497,29.7,-0.911,-0.012,25.406,-0.983,166.465,1,78.712,-2.438,2.178,-999.0,-999.0,-999.0,78.712,0.00572068250088,s,u,0.259892070003
900133,111.833,34.182,83.746,20.154,-999.0,-999.0,-999.0,3.116,20.154,76.54,1.084,1.414,-999.0,36.734,0.12,-2.203,39.806,0.995,1.09,14.368,2.682,149.532,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461025356734,s,u,0.0209444999381
900134,124.883,8.473,66.294,242.66,2.718,626.545,-1.297,1.275,27.626,465.91,2.334,1.397,0.668,31.925,0.345,-2.221,74.517,1.604,-2.021,136.679,-2.105,439.888,3,209.906,-0.617,1.546,118.459,2.101,-0.233,359.468,0.000461281573949,s,u,0.0209561399517
900135,117.035,25.397,82.03,62.825,-999.0,-999.0,-999.0,2.296,23.767,142.119,0.462,1.398,-999.0,65.474,-0.124,1.082,30.255,0.196,-2.928,12.014,1.897,152.245,1,46.39,2.908,-1.209,-999.0,-999.0,-999.0,46.39,0.000461281573949,s,u,0.0209561399517
900136,129.279,14.443,92.367,42.516,-999.0,-999.0,-999.0,2.735,20.891,145.655,1.433,-0.589,-999.0,35.435,1.778,1.423,50.764,0.777,-2.315,21.771,-1.877,189.594,1,59.456,0.801,0.329,-999.0,-999.0,-999.0,59.456,0.00572068250088,s,u,0.259892070003
900139,145.053,62.487,97.265,52.185,2.785,438.338,-0.111,2.539,0.696,309.697,1.161,1.36,0.877,46.379,-0.425,2.292,53.84,-0.847,-0.212,26.181,1.754,278.63,2,127.351,-2.745,-1.482,82.126,0.04,1.928,209.478,0.000461281573949,s,u,0.0209561399517
900142,129.716,16.117,62.526,242.23,4.578,1146.394,-3.237,1.016,26.069,387.294,0.446,1.25,0.424,96.139,0.584,2.114,42.873,0.706,3.122,125.35,2.902,492.63,2,166.236,0.874,-0.1,82.045,-3.704,-1.125,248.281,0.000461281573949,s,u,0.0209561399517
900143,72.09,8.617,49.961,106.379,0.396,104.261,2.793,1.369,1.541,223.433,2.359,0.779,0.072,23.769,2.316,-2.511,56.084,1.361,-1.529,36.982,-1.339,201.644,2,89.791,1.485,2.037,53.79,1.881,0.473,143.58,0.000461025356734,s,u,0.0209444999381
900150,146.998,21.136,100.803,61.597,4.897,1199.729,-5.994,2.801,4.207,310.658,1.573,-1.078,0.687,39.368,0.988,2.597,61.946,1.546,-0.941,39.559,-0.511,358.562,2,123.545,-2.403,2.96,85.798,2.494,0.268,209.343,0.000461281573949,s,u,0.0209561399517
900153,142.409,19.968,105.779,144.345,2.02,214.526,-0.958,1.583,5.116,299.206,0.586,1.402,0.297,85.39,0.142,1.9,50.081,1.362,2.908,24.534,2.33,428.338,2,86.747,-0.76,-0.39,76.987,1.26,-1.468,163.735,0.000461025356734,s,u,0.0209444999381
900154,116.485,1.557,45.953,249.638,0.608,152.433,1.044,1.234,6.226,357.319,1.381,0.971,0.0,30.803,-1.565,1.795,42.534,-0.521,2.454,182.287,2.471,356.511,2,222.091,0.762,-0.958,61.891,1.37,0.234,283.982,0.00081448039868,s,u,0.0370020529469
900155,124.819,5.355,74.446,29.204,7.353,1667.495,-13.497,3.101,0.904,159.535,0.756,-1.396,0.989,42.793,0.577,2.121,32.362,0.522,-1.062,39.746,-0.913,182.406,2,42.481,3.814,-2.88,41.9,-3.539,0.991,84.38,0.000461281573949,s,u,0.0209561399517
900157,142.383,37.57,96.1,90.87,5.001,1018.173,-5.697,2.536,0.96,294.386,0.291,1.376,0.938,93.262,0.017,1.035,27.115,0.113,-1.499,19.44,0.417,297.618,2,112.599,3.246,-2.989,61.411,-1.755,-0.775,174.009,0.000461281573949,s,u,0.0209561399517
900159,119.275,11.651,65.863,50.826,-999.0,-999.0,-999.0,2.535,3.331,120.49,0.853,0.085,-999.0,37.077,1.506,0.915,31.615,1.237,-2.847,51.042,-2.556,132.153,1,51.797,1.127,0.22,-999.0,-999.0,-999.0,51.797,0.000461281573949,s,u,0.0209561399517
900163,84.866,10.085,49.375,87.359,1.634,64.211,-0.47,1.809,40.376,123.27,1.022,1.267,0.25,26.883,0.13,-2.652,27.485,1.406,-1.369,45.121,-1.656,206.117,2,37.5,1.261,0.916,31.403,-0.373,0.769,68.902,0.00572068250088,s,u,0.259892070003
900165,117.078,67.475,52.207,104.228,-999.0,-999.0,-999.0,1.991,7.13,161.314,0.951,1.195,-999.0,30.42,-0.248,0.945,28.936,-0.957,2.806,74.04,1.172,228.042,1,101.958,-3.128,-1.691,-999.0,-999.0,-999.0,101.958,0.000461281573949,s,u,0.0209561399517
900169,112.11,7.773,84.682,31.19,-999.0,-999.0,-999.0,2.981,31.19,62.493,1.637,-0.304,-999.0,23.701,1.919,1.348,38.792,0.091,-2.581,6.752,-2.096,241.661,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461281573949,s,u,0.0209561399517
900181,114.821,34.422,79.017,144.906,5.061,744.842,-6.404,1.374,1.985,270.455,0.79,1.408,0.97,68.432,-0.971,1.781,54.034,-0.447,0.511,45.953,1.216,332.907,2,117.853,2.524,-1.809,30.137,-2.538,-2.402,147.99,0.000461281573949,s,u,0.0209561399517
900182,144.736,26.623,99.098,61.893,-999.0,-999.0,-999.0,3.362,61.893,80.51,0.643,1.411,-999.0,48.995,-0.544,2.021,31.516,0.873,-1.213,72.667,-1.777,289.138,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900185,118.329,7.669,82.527,5.117,-999.0,-999.0,-999.0,3.08,5.117,84.14,0.659,-1.408,-999.0,50.712,1.232,-1.087,33.428,1.089,1.99,13.148,2.358,152.858,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900190,137.276,27.616,102.599,61.88,4.803,513.923,-5.696,2.252,27.651,204.436,0.858,1.318,0.989,56.416,-0.953,2.739,48.393,-0.021,0.689,7.705,2.282,257.433,2,67.948,2.133,-1.206,31.678,-2.67,-3.102,99.626,0.000461281573949,s,u,0.0209561399517
900193,144.568,37.818,97.533,214.268,0.606,92.756,0.089,1.29,71.65,553.696,0.551,1.011,0.007,98.234,0.878,0.231,54.086,-0.247,-0.401,69.918,0.224,588.96,3,182.241,0.728,-3.037,104.074,0.122,3.046,401.376,0.00081448039868,s,u,0.0370020529469
900195,132.893,1.621,92.572,0.959,-999.0,-999.0,-999.0,3.631,0.959,64.61,0.766,1.414,-999.0,36.594,-2.024,2.463,28.016,-0.2,-0.677,8.571,-0.572,77.89,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900198,153.604,70.253,101.429,88.357,-999.0,-999.0,-999.0,2.886,26.422,188.405,0.4,0.591,-999.0,78.952,-0.771,0.025,31.56,-1.228,-2.825,39.545,0.103,305.143,1,77.893,0.076,-2.891,-999.0,-999.0,-999.0,77.893,0.00572068250088,s,u,0.259892070003
900200,123.857,58.417,71.672,52.238,0.298,115.693,9.063,3.032,3.364,189.575,0.745,1.398,0.0,36.698,-0.785,2.129,27.322,-1.836,-1.31,38.965,2.755,253.153,2,84.208,-2.865,-0.735,41.348,-3.163,1.86,125.555,0.00572068250088,s,u,0.259892070003
900205,-999.0,44.526,82.355,47.11,-999.0,-999.0,-999.0,2.959,47.11,71.491,0.724,-1.385,-999.0,41.478,0.005,-2.621,30.013,-1.2,0.959,66.086,-0.088,182.346,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900206,114.174,7.008,78.183,56.574,-999.0,-999.0,-999.0,3.17,24.852,114.132,1.916,-1.343,-999.0,25.91,-0.126,2.848,49.637,-0.97,-0.379,33.139,-0.206,170.421,1,38.585,-4.228,2.454,-999.0,-999.0,-999.0,38.585,0.00572068250088,s,u,0.259892070003
900207,81.1,40.874,59.703,5.187,-999.0,-999.0,-999.0,3.049,5.187,54.264,1.3,-1.386,-999.0,23.589,-0.055,1.507,30.675,0.899,-1.389,14.253,2.178,99.08,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,u,0.259892070003
900209,117.148,32.42,73.307,99.613,-999.0,-999.0,-999.0,2.017,0.48,189.407,1.725,1.373,-999.0,32.926,1.559,-0.692,56.785,1.699,1.319,47.538,0.685,157.211,1,99.696,-2.781,-2.438,-999.0,-999.0,-999.0,99.696,0.000461281573949,s,u,0.0209561399517
900210,134.915,53.573,103.421,20.819,-999.0,-999.0,-999.0,2.682,17.1,134.983,1.47,-1.414,-999.0,40.0,-1.047,-1.747,58.788,-1.975,0.769,17.563,2.74,221.315,1,36.195,0.754,-3.002,-999.0,-999.0,-999.0,36.195,0.00572068250088,s,u,0.259892070003
900211,128.241,6.328,81.578,38.036,-999.0,-999.0,-999.0,3.18,0.491,88.152,1.125,0.545,-999.0,23.529,-0.174,-3.093,26.468,-2.402,-0.824,25.56,-0.58,108.746,1,38.155,-1.855,2.014,-999.0,-999.0,-999.0,38.155,0.00572068250088,s,u,0.259892070003
